                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.64264,                 1.2472,                0.53114,                 1.0798,                0.93522,                0.86363,                0.88579,                0.78512,                0.90669,                0.84149,                0.85127,                0.68297,                 0.5101,                0.95082,                0.43394,                0.88564,               0.008548,               0.008548,               0.008548
                     47,                0.64326,                 1.2593,                0.53593,                 1.0845,                0.93252,                0.86339,                0.88658,                 0.7872,                0.90591,                0.84214,                0.85029,                0.68358,                0.50373,                0.94672,                0.43368,                0.88221,               0.008515,               0.008515,               0.008515
                     48,                0.63713,                 1.2536,                0.52589,                 1.0777,                0.93521,                0.86395,                0.88564,                0.78716,                 0.9092,                0.84402,                0.85309,                0.68556,                0.50453,                0.94586,                0.42852,                0.88153,               0.008482,               0.008482,               0.008482
                     49,                0.63106,                 1.2302,                0.52607,                 1.0737,                0.93508,                0.86273,                0.88482,                0.78748,                0.91323,                0.84161,                0.85583,                0.69011,                  0.507,                0.94093,                0.42448,                0.88171,               0.008449,               0.008449,               0.008449
                     50,                  0.635,                 1.2428,                0.52622,                 1.0723,                0.93631,                0.86498,                  0.887,                0.79066,                0.90811,                0.84272,                 0.8539,                0.69069,                0.50027,                0.93662,                0.42355,                0.87719,               0.008416,               0.008416,               0.008416
                     51,                0.62899,                 1.2279,                0.51922,                 1.0692,                0.93468,                0.86384,                0.88641,                0.78935,                0.91321,                0.84202,                0.85587,                0.69035,                0.50083,                0.93189,                0.42151,                 0.8757,               0.008383,               0.008383,               0.008383
                     52,                0.63482,                 1.2367,                0.52848,                 1.0713,                0.93814,                0.86164,                0.88617,                0.78948,                0.91599,                0.84259,                0.85708,                0.69156,                0.49435,                0.92787,                0.41824,                0.87012,                0.00835,                0.00835,                0.00835
                     53,                0.63187,                 1.2408,                0.52226,                 1.0706,                0.93961,                0.86374,                0.88436,                0.78844,                0.91354,                0.84136,                0.85245,                0.69116,                0.49183,                0.92633,                0.41555,                0.86747,               0.008317,               0.008317,               0.008317
                     54,                0.62864,                 1.2195,                0.51988,                 1.0681,                0.93883,                0.86667,                0.88551,                0.79113,                0.91359,                0.84489,                 0.8549,                0.69099,                0.48844,                0.92222,                0.41541,                0.86414,               0.008284,               0.008284,               0.008284
                     55,                0.62379,                 1.2227,                0.51917,                 1.0647,                0.93925,                0.86919,                0.88794,                0.79415,                0.91637,                0.84693,                0.85588,                0.69286,                0.48475,                0.91814,                0.41311,                0.86267,               0.008251,               0.008251,               0.008251
